fold: 1
scores: [0.20191718637943268, 0.9350857138633728]
scores with original testdata: [2.1939024925231934, 0.697265625]
f1_scores:               precision    recall  f1-score   support

           0      0.938     0.872     0.904       875
           1      0.977     0.919     0.947       875
           2      0.936     0.966     0.951       875
           3      0.879     0.915     0.897       875
           4      0.915     0.890     0.903       875
           5      0.914     0.914     0.914       875
           6      0.960     0.978     0.969       875
           7      0.900     0.925     0.912       875
           8      0.960     0.982     0.971       875
           9      0.975     0.990     0.982       875

    accuracy                          0.935      8750
   macro avg      0.935     0.935     0.935      8750
weighted avg      0.935     0.935     0.935      8750

f1_scores with original testdata:               precision    recall  f1-score   support

           0      0.723     0.684     0.703       843
           1      0.797     0.628     0.703       269
           2      0.930     0.517     0.664       180
           3      0.644     0.660     0.652       652
           4      0.628     0.758     0.687       766
           5      0.605     0.728     0.661       202
           6      0.990     0.600     0.747       502
           7      0.619     0.621     0.620       235
           8      0.891     0.935     0.912       306
           9      0.436     0.894     0.586       141

    accuracy                          0.697      4096
   macro avg      0.726     0.702     0.693      4096
weighted avg      0.730     0.697     0.700      4096

