fold: 4
scores: [0.25439584255218506, 0.9109714031219482]
scores with original testdata: [2.2228338718414307, 0.6611328125]
f1_scores:               precision    recall  f1-score   support

           0      0.864     0.827     0.845       875
           1      0.969     0.977     0.973       875
           2      0.916     0.963     0.939       875
           3      0.871     0.825     0.847       875
           4      0.869     0.816     0.841       875
           5      0.807     0.867     0.836       875
           6      0.946     0.967     0.956       875
           7      0.939     0.904     0.921       875
           8      0.957     0.969     0.963       875
           9      0.969     0.993     0.981       875

    accuracy                          0.911      8750
   macro avg      0.911     0.911     0.910      8750
weighted avg      0.911     0.911     0.910      8750

f1_scores with original testdata:               precision    recall  f1-score   support

           0      0.607     0.641     0.623       843
           1      0.766     0.755     0.760       269
           2      0.790     0.817     0.803       180
           3      0.599     0.520     0.557       652
           4      0.590     0.662     0.624       766
           5      0.519     0.802     0.630       202
           6      0.916     0.586     0.714       502
           7      0.864     0.566     0.684       235
           8      0.914     0.869     0.891       306
           9      0.466     0.830     0.597       141

    accuracy                          0.661      4096
   macro avg      0.703     0.705     0.688      4096
weighted avg      0.687     0.661     0.664      4096

