fold: 0
scores: [0.4513630270957947, 0.8323428630828857]
scores with original testdata: [1.476365089416504, 0.646240234375]
f1_scores:               precision    recall  f1-score   support

           0      0.834     0.682     0.750       875
           1      0.940     0.933     0.936       875
           2      0.879     0.830     0.854       875
           3      0.649     0.815     0.723       875
           4      0.720     0.699     0.710       875
           5      0.790     0.689     0.736       875
           6      0.922     0.919     0.920       875
           7      0.790     0.842     0.815       875
           8      0.899     0.953     0.925       875
           9      0.939     0.961     0.950       875

    accuracy                          0.832      8750
   macro avg      0.836     0.832     0.832      8750
weighted avg      0.836     0.832     0.832      8750

f1_scores with original testdata:               precision    recall  f1-score   support

           0      0.702     0.605     0.650       843
           1      0.754     0.628     0.686       269
           2      0.956     0.844     0.897       180
           3      0.558     0.586     0.571       652
           4      0.521     0.598     0.557       766
           5      0.455     0.649     0.535       202
           6      0.970     0.574     0.721       502
           7      0.668     0.574     0.618       235
           8      0.853     0.948     0.898       306
           9      0.446     0.936     0.604       141

    accuracy                          0.646      4096
   macro avg      0.688     0.694     0.674      4096
weighted avg      0.681     0.646     0.651      4096

