brass_acoustic_046-101-050:{'correct_value': 1, 'wrong_value': 0, 'correct_value_percentage': 9.956558147394823e-10, 'wrong_value_percentage': 98.95952343940735}
guitar_electronic_028-086-100:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 1.2118314392864704, 'wrong_value_percentage': 89.17284607887268}
bass_synthetic_135-071-100:{'correct_value': 0, 'wrong_value': 3, 'correct_value_percentage': 5.401958152651787, 'wrong_value_percentage': 72.49115109443665}
guitar_acoustic_030-102-127:{'correct_value': 3, 'wrong_value': 5, 'correct_value_percentage': 9.322237223386765, 'wrong_value_percentage': 85.33791899681091}
bass_synthetic_134-102-100:{'correct_value': 0, 'wrong_value': 3, 'correct_value_percentage': 43.66588592529297, 'wrong_value_percentage': 55.95390796661377}
bass_synthetic_135-092-050:{'correct_value': 0, 'wrong_value': 5, 'correct_value_percentage': 1.3035792857408524, 'wrong_value_percentage': 72.98368811607361}
guitar_acoustic_014-103-075:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 29.030001163482666, 'wrong_value_percentage': 45.85138559341431}
bass_synthetic_009-084-127:{'correct_value': 0, 'wrong_value': 9, 'correct_value_percentage': 2.378064952790737, 'wrong_value_percentage': 97.00266122817993}
organ_electronic_028-032-025:{'correct_value': 6, 'wrong_value': 0, 'correct_value_percentage': 1.0274308733642101, 'wrong_value_percentage': 98.48057627677917}
guitar_electronic_022-053-075:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 3.5314738750457764, 'wrong_value_percentage': 80.31809329986572}
guitar_acoustic_021-031-127:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 4.906987026333809, 'wrong_value_percentage': 76.40093564987183}
guitar_acoustic_014-100-127:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 25.465992093086243, 'wrong_value_percentage': 46.184536814689636}
keyboard_synthetic_000-080-100:{'correct_value': 4, 'wrong_value': 0, 'correct_value_percentage': 6.638247519731522, 'wrong_value_percentage': 87.8855288028717}
reed_acoustic_023-039-127:{'correct_value': 7, 'wrong_value': 0, 'correct_value_percentage': 2.9947386792628095e-07, 'wrong_value_percentage': 95.67058086395264}
keyboard_synthetic_000-083-025:{'correct_value': 4, 'wrong_value': 6, 'correct_value_percentage': 14.570684731006622, 'wrong_value_percentage': 37.878596782684326}
guitar_acoustic_014-025-127:{'correct_value': 3, 'wrong_value': 1, 'correct_value_percentage': 0.11916894000023603, 'wrong_value_percentage': 80.53925633430481}
reed_acoustic_023-058-025:{'correct_value': 7, 'wrong_value': 0, 'correct_value_percentage': 9.839209447193298e-07, 'wrong_value_percentage': 99.05399084091187}
bass_synthetic_034-086-075:{'correct_value': 0, 'wrong_value': 4, 'correct_value_percentage': 4.452187940478325, 'wrong_value_percentage': 95.49252986907959}
organ_electronic_007-029-025:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 1.852260282930729e-05, 'wrong_value_percentage': 99.88609552383423}
keyboard_synthetic_000-035-100:{'correct_value': 4, 'wrong_value': 3, 'correct_value_percentage': 27.517136931419373, 'wrong_value_percentage': 55.48897981643677}
organ_electronic_113-068-050:{'correct_value': 6, 'wrong_value': 4, 'correct_value_percentage': 34.322935342788696, 'wrong_value_percentage': 59.2637836933136}
flute_synthetic_000-091-050:{'correct_value': 2, 'wrong_value': 9, 'correct_value_percentage': 1.8508054316043854, 'wrong_value_percentage': 97.26449251174927}
organ_electronic_007-063-050:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 7.35473015822663e-08, 'wrong_value_percentage': 99.99110698699951}
keyboard_synthetic_000-070-100:{'correct_value': 4, 'wrong_value': 0, 'correct_value_percentage': 0.4558440763503313, 'wrong_value_percentage': 69.01899576187134}
organ_electronic_007-072-075:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 5.88989879091173e-07, 'wrong_value_percentage': 99.99774694442749}
keyboard_synthetic_000-047-100:{'correct_value': 4, 'wrong_value': 3, 'correct_value_percentage': 20.30021846294403, 'wrong_value_percentage': 58.50570797920227}
guitar_electronic_028-052-075:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 22.179138660430908, 'wrong_value_percentage': 77.02518701553345}
organ_electronic_007-088-050:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 0.0005961083388683619, 'wrong_value_percentage': 99.99932050704956}
guitar_electronic_022-059-050:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 6.537649035453796, 'wrong_value_percentage': 83.37180018424988}
